Name,Latitude,Longitude,URL,Radius,GreenSpacePercentage,VegetationHealth_left,VegetationHealth_color,VegetationHealth_value,GreenSpaceDistribution_color,GreenSpaceDistribution_value
New York City,40.71427,-74.00597,https://hugsi.green/cities/New_York_City,100,27,156,#FDBA74,0.72,#b9c3ab,0.68
Tokyo,35.6895,139.69171,https://hugsi.green/cities/Tokyo,100,7.5,#d7bd51,0.58,#bec1b7,0.42
Sydney,-33.865143,151.2099,https://hugsi.green/cities/Sydney,100,46,#d1bd4e,0.81,#9fc26b,0.75
